minutes_since_start,internet_connections
0,379.9729291917139
10,371.12271251065295
20,429.29791133285727
30,350.1842235347713
40,268.586832125916
50,326.7263460349055
60,212.3327756588331
70,231.6425468029764
80,187.80206647684258
90,234.23739641221422
100,174.65264236154763
110,163.1664985975237
120,146.73100119500438
130,160.21447356819374
140,131.28262078002348
150,140.6781084266994
160,172.02359591669088
170,166.286928434897
180,126.67621472437378
190,137.79110640129556
200,160.20483955500328
210,128.46296777718828
220,125.33731147010089
230,135.88808959270202
240,116.5369580988993
250,111.605622657214
260,130.7571766711171
270,104.8800312873827
280,123.73363103735522
290,133.82502837930014
300,115.54979032786247
310,144.4861874651781
320,169.00013975308477
330,107.00769885772549
340,122.13528102933856
350,134.75922606375954
360,173.82527561601705
370,147.94203121438306
380,169.00838707612735
390,165.7058096656143
400,186.6849644881192
410,201.17187495348233
420,167.58363126306278
430,168.13040410127527
440,200.6680487544855
450,167.86629688231406
460,238.3429399183679
470,249.75130138675257
480,213.6922761606606
490,190.54874794102582
500,187.94546493464304
510,240.9163997750647
520,279.94391200318563
530,240.43263461912315
540,221.8019504786959
550,345.13076787806324
560,372.860488720907
570,319.3891046242667
580,392.9983775819267
590,638.4057158248957
600,548.570737889031
610,666.2045751933821
620,697.6888099256174
630,1243.952189965434
640,1068.301092003113
650,1035.5773846242337
660,1538.413782988395
670,1318.7714627107387
680,1688.3177517405081
690,2154.817715579035
700,1835.094840708253
710,2024.5666850315254
720,2093.19340501236
730,2302.464639023126
740,2747.3379998398837
750,2892.3588086580357
760,2671.406889503909
770,3363.795176781972
780,2833.5620265825773
790,3148.748903282882
800,3313.647380988631
810,3291.4317480344735
820,3249.7117730782006
830,3519.024554224732
840,3561.269895818867
850,3521.8183745525575
860,3331.0717151382755
870,3673.115907558456
880,3526.960330879242
890,3566.7763543170618
900,4786.595671888568
910,3852.559624792218
920,3553.7414553187473
930,3984.8771330403724
940,3616.087274543345
950,4438.869852618295
960,4385.461982839942
970,5012.5844464071
980,4501.180578461995
990,4467.243928049314
1000,4636.8949294655495
1010,4601.9373080973955
1020,4492.390892659429
1030,4473.029957989435
1040,4758.466505121153
1050,4535.981535343758
