minutes_since_start,internet_connections
0,138.24203771239937
10,188.39838926407114
20,164.5851908876544
30,123.40537998013171
40,136.19398044167787
50,112.25906498992536
60,109.33586721555088
70,108.13540672669808
80,106.8915936415016
90,105.73614427996672
100,114.45569474990027
110,101.47441570247128
120,112.92645700346736
130,101.66364477622608
140,111.58080696867256
150,96.17655677249964
160,89.03201640770355
170,91.48819239621604
180,103.07244385737144
190,83.59735825340277
200,92.5835183147364
210,85.46476084945131
220,84.53969174344871
230,79.8933836831941
240,82.22609935722873
250,91.2926142667602
260,81.00406956869209
270,79.3335203608975
280,78.78620114907461
290,75.98657814762313
300,75.82268016837415
310,79.44247737946958
320,82.62386000047974
330,75.18125851821031
340,92.67561434820392
350,81.36427082906206
360,89.87802271320747
370,88.44874314401876
380,88.0479506509203
390,84.22989945085546
400,104.48549020544549
410,110.94051108802803
420,104.1355327148203
430,92.36911552359639
440,93.43996743432949
450,98.28485455462199
460,96.90064340515356
470,97.97380632098655
480,134.83649257873356
490,110.65036137842048
500,136.31120558180817
510,136.83057666954326
520,154.28738108684553
530,164.7187493411613
540,167.59955043003785
550,150.77229695051517
560,147.20055023966543
570,156.7210575923676
580,159.36847174992292
590,147.35800991551977
600,140.84833144274276
610,153.20464541502994
620,220.03030823265235
630,174.27103402182803
640,152.02226613052383
650,148.8730627094742
660,154.8829175757674
670,142.788454895964
680,196.33794968282726
690,225.0818333893741
700,202.3455439091343
710,195.4157760899216
720,194.873209997383
730,251.4501198790233
740,183.48861729059016
750,157.5439902965686
760,182.0712420536803
770,172.4961369203873
780,147.78958908770974
790,142.0249248023535
800,146.0933886468817
810,144.90616746316695
820,135.2195775367837
830,124.23301795565254
840,137.90765364552198
850,143.42483569685484
860,153.1441920647928
870,159.42072807626454
880,137.48170378235824
890,119.81560882585956
900,135.79681625241258
910,145.00784636145357
920,137.59955850119928
930,153.99872665922038
940,134.35293262419287
950,127.32651292945776
960,138.7496130032704
970,146.50873744302194
980,132.36132515673808
990,136.00239102403887
1000,132.9702836475879
1010,163.1205846507998
1020,161.074750752485
1030,150.68991735503678
1040,128.949402099643
1050,155.69691729139856
1060,152.43295727941427
1070,124.97386716968882
1080,143.99855523357334
1090,138.23691062387715
1100,129.731053733559
1110,138.469748881311
1120,167.02578809292052
1130,130.22507626581356
1140,138.96470961311402
1150,127.09727680749148
1160,145.35522659452127
1170,165.70634708490473
1180,170.85458590858997
1190,178.33460475392272
1200,191.31393240588235
1210,154.80068824836047
1220,135.03229643592135
1230,128.92912069226782
1240,154.41949263630323
1250,154.07832467253908
1260,138.68919834198874
1270,139.44197605972454
1280,136.79540406709907
1290,146.98406710909867
1300,129.6561579044209
1310,131.57400915063081
1320,138.4673821416512
1330,129.86707561999626
1340,167.46008534442166
1350,144.87041448667358
1360,150.66560197191882
1370,137.74884387436572
1380,154.23845397362362
1390,117.77555025252164
1400,141.65921898528333
1410,143.17450244589222
1420,117.08034656382131
1430,123.8986388134
1440,117.0762029175012
1450,128.391091352015
1460,118.83364193411626
1470,118.72348010281422
1480,103.31349161880865
1490,100.79572955626531
1500,113.41230097330788
1510,97.88992762627461
1520,101.49007411261104
1530,113.67016840530904
1540,98.91973585762318
1550,95.3463722730233
1560,83.281692814079
1570,83.01036750767588
1580,89.79595565257033
1590,86.7887059108714
1600,82.37854402851428
1610,83.18553498085346
1620,83.42475644861891
1630,80.56566094810067
1640,78.04545083491989
1650,76.3761594959414
1660,88.93242703717429
1670,82.7891589801589
1680,79.24859536687028
1690,70.9417279576166
1700,72.90395210723081
1710,72.66190319062171
1720,68.4365360529011
1730,75.66818494705942
1740,75.07594779954582
1750,67.93342876440406
1760,68.3191031303418
1770,74.3885246469203
1780,68.94347232029877
1790,70.61884221516023
1800,72.01559538260278
1810,72.61941869990754
1820,71.85571951548732
1830,72.49290266697295
1840,70.38374747275085
1850,70.46174348633468
1860,75.27997632126257
1870,78.59498016281026
1880,81.46647610961665
1890,82.43672690818687
1900,86.5979280801432
1910,89.58976127851861
1920,111.03871976280736
1930,101.65387633537452
1940,120.84966793456115
1950,105.55286555952021
1960,112.340660466408
1970,108.53291960784028
1980,116.5029320779657
1990,121.73496377544055
2000,125.23282603507631
2010,118.9381917373882
2020,128.73458098017713
2030,151.346749593539
2040,145.46655783665994
2050,130.06819065872997
2060,150.0508123001262
2070,152.72860621682275
2080,166.39196079274242
2090,124.50669595970396
2100,142.60604708898202
2110,129.45153479361178
2120,128.41154125474804
2130,153.4897148594473
2140,127.00710218396452
2150,113.21495746867228
2160,116.28752222129945
2170,115.05859606846192
2180,119.07597831806832
2190,127.10977679049068
2200,117.12654410650536
2210,135.37731265387546
2220,114.13879483903987
2230,113.44666882631815
2240,135.57461623003013
2250,115.14503054904391
2260,119.89453600711686
2270,131.08126938193544
2280,137.25793569605753
2290,124.66308060347144
2300,129.35201098448772
2310,141.13374301382845
2320,152.3896287887162
2330,145.99403687202494
2340,136.18139372318103
2350,123.82607847655392
2360,118.6972817969949
2370,132.60213496012975
2380,127.51053991778494
2390,133.0553272787406
2400,123.51427851925
2410,114.98026834145908
2420,143.52928366821206
2430,140.68818384674168
2440,102.6165774132763
2450,111.38726273078753
2460,115.91135224915564
2470,117.08708161871976
2480,122.5564139370854
2490,113.80826833970488
